# Xa Ya Xb Yb
2.667355852981289743e+00 1.452093210195860573e+00 1.701603251056555877e+01 1.743755936551806940e+00
2.944813921835907955e+00 1.300525143815050910e+00 1.715489170745764369e+01 1.459724279588298312e+00
2.844327895987615484e+00 1.967013432517725979e+00 1.745801662367424356e+01 2.061737041527183401e+00
2.825170051282150041e+00 1.702685939682987204e+00 1.728963752939646525e+01 1.857079945162917411e+00
2.689508711193808743e+00 1.732434706447402828e+00 1.719610976192054608e+01 1.959751971682015981e+00
2.736648573426633479e+00 1.740683139216097297e+00 1.723934879524455610e+01 1.939243698920170678e+00
2.983459361551101363e+00 1.987392892764984209e+00 1.758334346916824487e+01 1.997971306933003843e+00
3.088928776461191017e+00 1.064410882151011428e+00 1.713606883127802760e+01 1.183744687558112574e+00
2.929132374474720635e+00 1.530597569870982166e+00 1.727504251274238811e+01 1.656556736638275185e+00
2.646126600391372818e+00 1.895245655897690895e+00 1.725478553903062107e+01 2.117696791094074715e+00
2.969287508181446711e+00 2.194146376433395940e+00 1.769125136381780905e+01 2.174899910356119292e+00
2.737820003540444080e+00 1.792513909324484844e+00 1.727025564907939170e+01 1.980867818905730937e+00
2.635189281038905929e+00 2.365910120017419072e+00 1.751783623069032103e+01 2.508143965955259791e+00
2.855234643628623559e+00 2.120012232119111051e+00 1.755532955328077094e+01 2.180302565837432205e+00
2.980546440913220962e+00 2.231429542686531153e+00 1.772198456392492716e+01 2.198822043691034178e+00
2.767863720624613943e+00 3.015138357656897306e+00 1.800127831516407895e+01 2.961336598758923078e+00
2.452750958819424731e+00 2.597968067639035539e+00 1.750303791238778572e+01 2.802958555560375764e+00
2.683566645655894423e+00 2.734218351871426034e+00 1.777014853636330827e+01 2.780778929715766346e+00
2.508887376705557504e+00 2.588658718530657321e+00 1.754347347483678377e+01 2.762921988732768508e+00
2.591057264605072685e+00 2.724740293857319084e+00 1.768917118496488072e+01 2.826500781456709355e+00
2.770084004623645679e+00 2.360456424920101881e+00 1.762477742601825526e+01 2.425743055868955889e+00
2.909566077890905156e+00 2.706725166066781263e+00 1.793870802131126752e+01 2.627745212286193066e+00
2.535139395387203010e+00 3.201200656100608999e+00 1.791886076297780406e+01 3.247670560333493661e+00
2.530897167673571868e+00 3.425654860021585257e+00 1.804510109453569555e+01 3.433307477033613164e+00
2.549792730648436923e+00 3.452740069175083359e+00 1.807617386838257900e+01 3.444493789226921621e+00
2.986347468839103403e+00 2.538693864394019784e+00 1.790427403187604227e+01 2.446239838510766429e+00
2.572711550529716895e+00 3.113663927675711651e+00 1.789894104519601825e+01 3.154517189439675295e+00
2.855677177311119586e+00 3.798272359208275439e+00 1.852548613179124004e+01 3.549738020025129615e+00
2.562855156321507621e+00 3.748622322071931912e+00 1.825781242074821265e+01 3.678426195785517550e+00
2.130947528004313973e+00 3.950351185705322177e+00 1.802188693174495526e+01 4.092645820453369332e+00
2.736524945428102207e+00 4.031955847864994169e+00 1.856327730202238158e+01 3.809308924954861286e+00
2.635773728282267303e+00 3.179779034989048458e+00 1.798861357782013570e+01 3.172035253565733903e+00
2.727349647883849038e+00 3.673057256228710710e+00 1.834839670923881627e+01 3.521700308935595380e+00
2.597577537452350871e+00 3.868594166558335878e+00 1.835547730625400575e+01 3.756275135148915201e+00
2.453061327182080920e+00 3.067804962167986371e+00 1.777479004739554469e+01 3.186230757667251723e+00
2.729514416522264675e+00 4.452005601154145786e+00 1.880028469841452932e+01 4.156178405897234640e+00
2.514937232187108407e+00 3.347754870525249782e+00 1.798706048838008442e+01 3.378952937744325702e+00
2.449498982045673845e+00 3.457206950018023139e+00 1.799690159125012201e+01 3.506094885901362979e+00
2.472518086969019979e+00 3.682059242699959434e+00 1.814562095975443157e+01 3.676303528888357874e+00
2.458464218682480329e+00 3.968064377876864945e+00 1.829942131753455925e+01 3.917844205603646657e+00
2.253695286999345182e+00 4.625949322807729303e+00 1.851246552650282240e+01 4.573096127519505671e+00
2.394471647760709310e+00 4.255350749920713938e+00 1.841320519538644618e+01 4.189288007957433280e+00
2.478801426023921284e+00 3.623895191111532910e+00 1.811713848827294626e+01 3.625202784616219809e+00
2.796471189322198736e+00 3.691880156991016460e+00 1.841568635420944844e+01 3.497119976072770697e+00
2.443984336708244332e+00 4.245389839125300213e+00 1.844785837377354198e+01 4.152547249413799157e+00
2.500319034340972024e+00 4.304089796481049390e+00 1.852775545604641749e+01 4.167901056603517063e+00
2.237996103046766105e+00 4.569754717995488491e+00 1.846718035150556503e+01 4.536305491316134031e+00
2.369735011191810958e+00 4.451332732166978445e+00 1.850626637911321382e+01 4.363530524689974044e+00
2.359060933062748777e+00 4.056455920956776318e+00 1.826937228666257340e+01 4.047424813040485070e+00
2.043662198788356754e+00 4.678401587784972726e+00 1.837135956928649350e+01 4.737273614047812664e+00
2.302557130653532180e+00 4.683261931609242090e+00 1.858546204179888406e+01 4.591635913050972739e+00
2.286473182649661151e+00 5.023860298883380260e+00 1.876915269061796465e+01 4.878905275687550613e+00
2.305261566220330849e+00 4.354756489885156512e+00 1.839783985917316755e+01 4.321967494802130716e+00
1.891147479391962705e+00 4.710755853705625995e+00 1.826558273299015056e+01 4.851810940099024805e+00
2.336159054236207400e+00 4.194414796990619365e+00 1.833040179083630505e+01 4.173252262949537439e+00
2.352189504254957875e+00 4.601518795511462478e+00 1.857873299314478999e+01 4.496241821448702325e+00
2.252030513157105229e+00 4.570537188940321904e+00 1.847908651795254542e+01 4.528834204381373851e+00
2.130174705765027099e+00 4.682666878352089945e+00 1.844443040891664509e+01 4.690762766251251215e+00
2.249916437137307934e+00 5.032464888934906178e+00 1.874428958440030968e+01 4.907052399192791015e+00
2.218543154650082450e+00 4.945253989192845978e+00 1.866828918589298425e+01 4.854005596135763767e+00
2.056160395677796071e+00 4.509344840246896524e+00 1.828386908705783398e+01 4.592077869161688142e+00
2.067466611985939284e+00 5.379749602370187844e+00 1.879606654328114246e+01 5.295914530818696342e+00
1.966110865657904050e+00 5.267167499335291936e+00 1.864828988212435945e+01 5.262601235352375895e+00
2.013272336150348174e+00 4.638591721196111628e+00 1.832355282509617922e+01 4.722344299297907000e+00
2.125617771959184665e+00 4.880339082950540863e+00 1.855493771449810225e+01 4.854723741881580068e+00
2.194660134385452821e+00 5.581908366643546060e+00 1.901669294139739463e+01 5.387404150815585879e+00
2.016770283995310553e+00 5.035355378876551491e+00 1.855568053648952187e+01 5.044136718876703895e+00
1.967296118702239527e+00 5.857521014769621281e+00 1.899039749166293234e+01 5.743726023225807609e+00
1.847930130133637716e+00 4.897830206248357854e+00 1.833841377066023526e+01 5.029462826123623387e+00
1.901701371748807157e+00 5.431529999690892119e+00 1.869070099698032550e+01 5.433963167430199803e+00
1.860611697388177443e+00 5.244177805892797473e+00 1.854890327553925999e+01 5.304801981100316866e+00
1.836110323633072250e+00 5.595603055014336746e+00 1.873198054301486692e+01 5.605771642643947672e+00
1.863679864954667309e+00 5.578465663829812016e+00 1.874457810987066964e+01 5.575853903848908999e+00
1.929920915522790770e+00 5.702051559020432592e+00 1.887005497304787838e+01 5.638439102399717129e+00
1.686403637359066732e+00 6.106897608229585828e+00 1.890525474474150514e+01 6.109567497210775855e+00
1.726720110698728883e+00 5.733063985237550675e+00 1.872213592483661060e+01 5.781170643543543264e+00
1.663658133148130824e+00 5.912909614974130257e+00 1.877459384280811250e+01 5.964390266919519235e+00
1.696174792340306992e+00 5.782962963230916742e+00 1.872604124720574958e+01 5.839545920293147674e+00
1.881982290026540383e+00 5.550033260969470916e+00 1.874308552618905921e+01 5.542072955225791908e+00
1.664961519122607481e+00 6.359067229286814893e+00 1.903347316420360613e+01 6.327763095537720872e+00
1.862894692249748019e+00 6.122736774374140545e+00 1.905844851187119815e+01 6.020507734392804622e+00
1.545472992304680826e+00 6.191008494898877501e+00 1.883884006487388163e+01 6.259651401310520669e+00
1.846951831837581048e+00 5.908637041701570780e+00 1.892171778129211290e+01 5.854985597976259726e+00
1.389630747848717096e+00 6.197025608888778514e+00 1.871512838624675723e+01 6.354616823381391555e+00
1.387158566129159887e+00 6.029672356617288287e+00 1.861640439302546213e+01 6.219462112435968137e+00
1.664744980414426090e+00 6.613055933467482994e+00 1.918006574804223874e+01 6.535177953018811436e+00
1.642510537364342493e+00 6.485760973510294569e+00 1.908836102011771274e+01 6.444136093610412175e+00
1.376170919263568493e+00 5.711943339017780730e+00 1.842383482608416756e+01 5.966500813229085765e+00
1.544699210966070213e+00 6.703753926660527718e+00 1.913450240994822238e+01 6.678569357759206682e+00
1.480522647689457294e+00 5.815645626876301044e+00 1.856892535194743132e+01 5.990835706639240144e+00
1.285942805532273026e+00 6.058259994406651749e+00 1.855031799055348429e+01 6.301281857216151749e+00
1.429337798221226530e+00 6.639218253009946835e+00 1.900305919349868944e+01 6.692561840506082049e+00
1.223588168687195221e+00 5.806655472694250975e+00 1.835403643630754544e+01 6.131970051529114230e+00
1.337797746241581986e+00 6.110656656514853680e+00 1.862291656758920055e+01 6.314079969906554624e+00
1.397012017895760572e+00 6.682824130399593443e+00 1.900187489776394045e+01 6.746829934817416330e+00
1.400028212251434923e+00 6.913409377557246493e+00 1.913758197049699916e+01 6.933276291835651861e+00
1.203158207874694741e+00 6.622020349716437160e+00 1.880852758816638826e+01 6.809225585919365997e+00
1.169870557465352956e+00 6.785612601872824889e+00 1.887589331558051242e+01 6.961974894936917124e+00
1.166901003592080599e+00 7.263893284618371027e+00 1.914984789015863242e+01 7.354033718081449678e+00
1.280920478530783946e+00 7.010302756090356802e+00 1.909636424927595399e+01 7.081181932339907448e+00
9.972767789450538434e-01 6.620955331889024187e+00 1.863988458624581313e+01 6.927326538262272848e+00
1.015863653880643369e+00 6.641556726453558213e+00 1.866695870648491962e+01 6.933399543379469065e+00
9.730368609904875843e-01 7.101639041749105985e+00 1.889786822468223093e+01 7.333637804222748358e+00
9.705181047636739500e-01 5.929067375865047396e+00 1.821823309577811045e+01 6.378113473121480581e+00
1.011713668893474027e+00 6.955982201871627524e+00 1.884526490600936199e+01 7.192412093612894353e+00
8.394807798618232342e-01 6.895096913269601835e+00 1.866951614279105343e+01 7.242247408998439440e+00
9.754178424027752925e-01 6.049903038024584845e+00 1.829205776452322851e+01 6.473900648479872899e+00
9.674171752639939559e-01 6.311160011359669753e+00 1.843649745329058831e+01 6.691745531595504559e+00
9.737658771133737012e-01 6.403431280114620705e+00 1.849499852367966568e+01 6.763382936742207363e+00
7.255946860363284845e-01 7.723719913952703742e+00 1.905539553931694030e+01 7.984327735489253897e+00
8.227286357396746963e-01 6.617728204958742033e+00 1.849556446539569521e+01 7.025556734039721363e+00
6.319872921222446926e-01 6.746663762170756584e+00 1.841439967967621172e+01 7.241007228672863505e+00
5.874973824639387887e-01 6.858313084204318066e+00 1.844260720401914000e+01 7.357837270795604567e+00
6.922230568193714628e-01 7.046354094245026900e+00 1.863673869485590018e+01 7.450788078171477480e+00
5.145888074456750338e-01 6.436212230161961756e+00 1.813918957854038894e+01 7.055475672963938294e+00
3.429378190356395795e-01 6.662198161145234998e+00 1.812968644774663574e+01 7.339101118454353312e+00
4.841797309224979973e-01 6.950673028737186954e+00 1.841165668301332303e+01 7.492918586023217031e+00
7.320826566088166620e-01 6.765272277953686242e+00 1.850684434195010297e+01 7.198353468364901531e+00
5.038222064246944409e-01 6.957311813718504823e+00 1.843152391815099023e+01 7.486986193768219167e+00
5.131368233011567304e-01 6.565574845863344500e+00 1.821275773349308480e+01 7.161892406497324615e+00
6.492685203734891441e-01 7.141035533211191222e+00 1.865639427439214870e+01 7.552882765981756563e+00
7.341073385033467513e-01 6.679576609429214606e+00 1.845897686551867878e+01 7.127244034105325809e+00
4.773961714697028680e-01 6.560360164770863811e+00 1.818057510081145267e+01 7.178289517398713571e+00
3.737432748953124495e-01 6.703125961725439730e+00 1.817847837986779069e+01 7.354702667446041175e+00
3.700673823945010432e-01 7.156442869414414432e+00 1.843743097719081092e+01 7.726795778537919546e+00
4.535839611143518413e-01 6.966591735392482221e+00 1.839588507118654093e+01 7.523590439767582794e+00
5.558748664823975894e-02 6.984145954521790323e+00 1.808120902701933730e+01 7.767902395111512703e+00
5.187371666686536598e-01 6.437019424057069727e+00 1.814304165358606369e+01 7.053737293238539152e+00
5.738243911600636737e-01 6.798560418065243027e+00 1.839691962814150372e+01 7.316971916125069697e+00
5.438610015153293453e-01 6.826105326778430182e+00 1.838838241503907867e+01 7.356766924699810417e+00
-7.456719097339914448e-03 7.208494014325576238e+00 1.815939751774688915e+01 7.987431854942220966e+00
1.758253782187654268e-01 7.300097091836867946e+00 1.836191446371218206e+01 7.956281612519100932e+00
-6.416815211724993806e-02 7.188122201020958002e+00 1.810134117783143637e+01 8.003576786286496159e+00
3.088013927865150832e-01 7.074208003976083070e+00 1.833990945609458123e+01 7.695083832848888861e+00
-1.024264226155015417e-01 7.033433486403339430e+00 1.798072911199848178e+01 7.899437344829015828e+00
-2.292022286891880201e-02 6.860518222484241591e+00 1.794569670662815142e+01 7.712371434336688480e+00
-2.115697779706390280e-01 6.474482870923452538e+00 1.756865924217677133e+01 7.506326056580203243e+00
7.834862544393379757e-02 7.088069068910208159e+00 1.815983801198256131e+01 7.839565257649358188e+00
2.146615019068733032e-02 7.698635808045545481e+00 1.846623473111591096e+01 8.370741696729268710e+00
-6.157664984852273538e-02 7.180805444954043715e+00 1.809922815696869947e+01 7.996107787278248225e+00
-1.136517044495632955e-03 7.183609781745412981e+00 1.815017612869573682e+01 7.963470720389370427e+00
-3.264909617825835220e-01 6.627268663059759035e+00 1.756315617905477211e+01 7.697428367041727171e+00
-3.860630263709083354e-01 6.557136385726888506e+00 1.747401070665337741e+01 7.674614950955074733e+00
-2.405080984032160751e-01 7.163031968466805566e+00 1.794292493685576773e+01 8.084999086799921741e+00
-3.988114697088966376e-01 6.682184464779170163e+00 1.753586620872511048e+01 7.784038174018835576e+00
-2.251125841123101656e-01 7.164277065412004930e+00 1.795620928355007351e+01 8.077118841905887692e+00
-3.502519290962595733e-01 6.622879583338646015e+00 1.754122769727253939e+01 7.707576730220402794e+00
-3.358705820461749258e-02 6.521451087797466073e+00 1.774105857238687278e+01 7.441809912284814033e+00
-4.815545121503616577e-01 6.961514890937369415e+00 1.762974971794884027e+01 8.059823932799140778e+00
-4.454597734895081595e-01 6.833907033429856170e+00 1.758546881758212521e+01 7.934820743562362111e+00
-2.240665391272502749e-01 6.628996837753225790e+00 1.764774723944893253e+01 7.639652061816827100e+00
-3.996884083844139957e-01 7.601769987394033201e+00 1.806654001162351619e+01 8.535053232018098512e+00
-3.346384785334234335e-01 7.668301511787840141e+00 1.815807545323980321e+01 8.551762512071212186e+00
-7.077761469973125052e-01 6.481791063241617579e+00 1.716790966662842877e+01 7.799027180656311842e+00
-6.149110252609374383e-01 6.872989096119298758e+00 1.746975714922704981e+01 8.064635781818534355e+00
-5.045733550163686854e-01 7.185880523305053558e+00 1.774061456631903866e+01 8.256238773151121535e+00
-9.039924700925586754e-01 6.849428766060554175e+00 1.722021239914784374e+01 8.212455227786650269e+00
-4.662043978880848205e-01 6.921673871818577517e+00 1.761925508654930894e+01 8.018437998907577580e+00
-4.515399344192060904e-01 7.004687692536840871e+00 1.767919347565587174e+01 8.077714726468942175e+00
-7.358067972536425083e-01 6.314094441421005399e+00 1.704812802777744807e+01 7.678361388826100864e+00
-7.520650754981147434e-01 7.094075943520032013e+00 1.748557729361817437e+01 8.324328582299219903e+00
-9.212021988542242745e-01 6.854196256589719205e+00 1.720892182334181797e+01 8.226290928996352392e+00
-7.653271569051109946e-01 7.108200233516030586e+00 1.748291543912241153e+01 8.343519541154375219e+00
-8.056247295676860487e-01 6.486288651406756145e+00 1.709065072586924572e+01 7.859240380895990086e+00
-1.085610907955767646e+00 6.835839797900596260e+00 1.706413427609730604e+01 8.306314359108782241e+00
-9.233265322584647272e-01 6.854938927436943885e+00 1.720761723300823220e+01 8.228124612846203334e+00
-8.432007902888000173e-01 6.118876996801475343e+00 1.684767186432658903e+01 7.581095531721064873e+00
-7.343762293298471411e-01 6.910027809223789674e+00 1.739366020824460080e+01 8.163898346891055979e+00
-9.958445720385210587e-01 6.518234016780449558e+00 1.695386503499457831e+01 7.995232180687107615e+00
-1.050022427487855792e+00 6.722667446674241098e+00 1.702778186675544347e+01 8.193385074336593021e+00
-1.004532719114389572e+00 6.044308383210595714e+00 1.667291277082869172e+01 7.613464168257749520e+00
-1.067163739337830819e+00 5.738373057745949524e+00 1.644501018053127694e+01 7.399970661571677155e+00
-8.379116165436718555e-01 6.535849890758822056e+00 1.709293952377496240e+01 7.918346395148853745e+00
-9.058855669848264736e-01 6.748384658403026037e+00 1.716027826360346964e+01 8.131083273744128093e+00
-1.120346538198819797e+00 6.430782428889634694e+00 1.680171973354511650e+01 7.995804062893681063e+00
-1.132722939247065908e+00 5.919322921174431151e+00 1.649606811132307271e+01 7.585534530551566235e+00
-1.143195994038068042e+00 6.333141541262841123e+00 1.672664890235511592e+01 7.929319396442386036e+00
-9.444242089186847267e-01 6.602164737389237814e+00 1.704433113305603698e+01 8.034017547861090236e+00
-1.189693448340682247e+00 5.906031170526544471e+00 1.644189159787248045e+01 7.607607476254608869e+00
-1.235868837058393899e+00 5.966338342730646005e+00 1.643905508666654214e+01 7.683509226871215958e+00
-1.147209104978755834e+00 5.979396671709826805e+00 1.651895948170550099e+01 7.642933917856741033e+00
-1.291558378546188823e+00 6.544137897023428074e+00 1.672749063629749955e+01 8.187253788808261490e+00
-1.189741915537530836e+00 6.746980949468388999e+00 1.692780128345641799e+01 8.293966209357881425e+00
-1.371230865305790081e+00 6.138686264733251186e+00 1.642817360792021120e+01 7.902388824664518197e+00
-1.546774466512412571e+00 6.008759857004184468e+00 1.620982691096244110e+01 7.897790207741730129e+00
-1.359013410496116236e+00 6.076921333110242962e+00 1.640245339538761016e+01 7.844920192805920678e+00
-1.282671826741522247e+00 6.050833492220324850e+00 1.644968357381404189e+01 7.779514358981524325e+00
-1.358231196018940601e+00 5.939345313989401021e+00 1.632359243844462782e+01 7.732187223508274698e+00
-1.614007955668715688e+00 6.091615394828205687e+00 1.620283383740374461e+01 8.004263111029098710e+00
-1.602747174213398518e+00 5.851540727368345074e+00 1.607329520743009255e+01 7.801822022068639839e+00
-1.470784747513559809e+00 6.731789423733673949e+00 1.668965312488637309e+01 8.443970577390791377e+00
-1.750196828134297888e+00 6.408822625146950891e+00 1.627498559578321036e+01 8.341845633847871255e+00
-1.418342473582577368e+00 5.422170645687645063e+00 1.597568004002102171e+01 7.344837296121554004e+00
-1.850536094585836677e+00 5.957132108982166940e+00 1.593208214004349976e+01 8.031185834667150303e+00
-1.627845887056084795e+00 6.332095760310364696e+00 1.633050359413795860e+01 8.208524531133189583e+00
-1.646749543202370658e+00 5.135203765800990361e+00 1.562344244517620240e+01 7.242619604980928827e+00
-1.726633040844299805e+00 5.653193978063282721e+00 1.585757111343534120e+01 7.711532176676596961e+00
-1.634836283863914774e+00 4.927447388451160037e+00 1.551311169727679484e+01 7.066177648106869214e+00
-1.962414253186624880e+00 5.984469405325803848e+00 1.585657123442264727e+01 8.118146476773805631e+00
-1.738616891739011017e+00 5.270624664221877254e+00 1.562672004738782938e+01 7.406227938448436632e+00
-1.780443325590815640e+00 5.537000033589821513e+00 1.574651096059960942e+01 7.647796614163139495e+00
-1.675717160305790987e+00 5.145204152195945291e+00 1.560557968348815905e+01 7.267520454636610339e+00
-1.843120538158629529e+00 5.480546791749330460e+00 1.566273579516287739e+01 7.637941506572646588e+00
-1.826543989807888790e+00 5.575048425279904407e+00 1.573087302883803673e+01 7.705488957170489428e+00
-2.021630488807069970e+00 5.522499881783535791e+00 1.554129002717804475e+01 7.775334336380103295e+00
-1.833880020488955820e+00 5.373769866143116580e+00 1.560857546841511656e+01 7.545457140243550853e+00
-1.859057655171324264e+00 5.114930743099091792e+00 1.543845489358180068e+01 7.348757890309087770e+00
-1.963825053914275864e+00 5.513511909966887004e+00 1.558327344746298948e+01 7.734595603438348732e+00
-1.805778130628493017e+00 5.355203443303695465e+00 1.562078172808724652e+01 7.514065493335522206e+00
-2.332080753035403742e+00 5.012584830197657659e+00 1.499326159634417444e+01 7.538569547209419852e+00
-2.208984413983343664e+00 5.250243778829264407e+00 1.523105818131555544e+01 7.661399790751675098e+00
-2.250212311006611010e+00 5.176469894995046062e+00 1.515477974354092616e+01 7.625014005620554869e+00
-2.171214289537179987e+00 5.061842626019486424e+00 1.515301475706430345e+01 7.485812773544049392e+00
-2.034031506904284914e+00 4.902420564596542185e+00 1.517285152899462020e+01 7.276430319650152967e+00
-2.151607451600400456e+00 5.103357988032590775e+00 1.519300660299543182e+01 7.508365060256910084e+00
-2.029444509295186716e+00 5.552185727393860404e+00 1.555206690355023369e+01 7.804077462192152481e+00
-2.011365954309390247e+00 5.675734393629970675e+00 1.563821503061542195e+01 7.894463342075329848e+00
-2.267363823641230347e+00 4.455965850690841279e+00 1.472443299395274430e+01 7.046894703604737131e+00
-2.028575234563909646e+00 4.840105779732393643e+00 1.514129552440774873e+01 7.222419932732163872e+00
-2.354380085085433727e+00 4.811727620837315200e+00 1.485899540338319902e+01 7.387528267455612863e+00
-2.053836789177070354e+00 4.555292081984407382e+00 1.495609685333155348e+01 7.004570349767298865e+00
-2.210218721725880187e+00 4.994163510559971542e+00 1.508207288089555931e+01 7.453116311879153244e+00
-2.338619298079028574e+00 4.293447090638652597e+00 1.457236601816354948e+01 6.955432553615873204e+00
-2.120294130071199046e+00 5.065428298300130194e+00 1.519664462136327643e+01 7.459314573095749523e+00
-2.332643860316290230e+00 5.114485678391009316e+00 1.505168620538466939e+01 7.622060055716673332e+00
-2.563338022268360383e+00 4.414175312114755556e+00 1.445872834341600743e+01 7.183818821460583592e+00
-2.488972527398044310e+00 4.576671832510197824e+00 1.461332067243088062e+01 7.273465671810667388e+00
-2.407023914451157154e+00 3.832701502000781524e+00 1.425029308811178375e+01 6.618928888378560416e+00
-2.465385752928149099e+00 3.911525737683184012e+00 1.424821098347980097e+01 6.716985143465274533e+00
-2.455450800393375932e+00 3.910658921420517409e+00 1.425581837531277074e+01 6.710536714059513130e+00
-2.500881365814766166e+00 4.008245290000923333e+00 1.427513181025386579e+01 6.816433016346204354e+00
-2.620784969315522517e+00 4.474316596209974684e+00 1.444659683005010997e+01 7.266098540475139700e+00
-2.505250289979145339e+00 4.137076208615586559e+00 1.434601209559291846e+01 6.924101387930928553e+00
-2.186030446760571344e+00 4.218793639757594249e+00 1.465376044977353587e+01 6.806330434992347023e+00
-2.495358909580256412e+00 4.208114611833926766e+00 1.439513490587798294e+01 6.976362689557511487e+00
-2.320674232812448334e+00 3.465905545623169548e+00 1.410881046920274429e+01 6.269675098591370954e+00
-2.897938174613191364e+00 3.845475585841204857e+00 1.385702110862885839e+01 6.913032846532784603e+00
-2.634385572502750961e+00 4.395530958477668726e+00 1.438996998508571856e+01 7.209657832211322059e+00
-2.580867842699997805e+00 3.590923582233617406e+00 1.396869930911566726e+01 6.522061878996563422e+00
-2.407097148353956939e+00 3.905499062449268255e+00 1.429229994451251784e+01 6.678384032695799277e+00
-2.759582945751382521e+00 3.734333691035984337e+00 1.390571382038549864e+01 6.742376144478388511e+00
-2.413934089313860554e+00 3.203545838247765065e+00 1.388109103742855766e+01 6.109444398408125920e+00
-2.508672781112721406e+00 3.086137589036151319e+00 1.373592597784403857e+01 6.068368588221119353e+00
-2.495516116547601193e+00 3.319492732799748769e+00 1.388150967536861202e+01 6.251215813954740241e+00
-2.666831687837422749e+00 3.367880351764611646e+00 1.376965375241754153e+01 6.389702777731878669e+00
-2.942258451497642202e+00 3.769514888811498654e+00 1.377695519672859525e+01 6.876649276230619279e+00
-2.585271097706495880e+00 2.994018195663413984e+00 1.362017931852097874e+01 6.037449409772901454e+00
-2.750225030151870698e+00 3.258099644369484960e+00 1.363815569221381097e+01 6.348296094440353698e+00
-2.584919873569887283e+00 3.142663911960314138e+00 1.370636202623552080e+01 6.158561808901986012e+00
-2.690654151754439560e+00 2.726014670063496403e+00 1.337930436612543161e+01 5.879618059519221340e+00
-2.680439782612205057e+00 2.365726600134631319e+00 1.317944548855855125e+01 5.579670971305737304e+00
-2.793771745766564951e+00 2.684777411802633740e+00 1.327131695735879902e+01 5.905550070848677002e+00
-2.921391911891112692e+00 2.835149684662830349e+00 1.325405510690042199e+01 6.102020821255834448e+00
-2.830077638023348552e+00 3.206859457017069648e+00 1.354337544432753404e+01 6.352620489704737139e+00
-2.920851727816755172e+00 2.437440576623387756e+00 1.302467673106171375e+01 5.777123318781654859e+00
-2.977838088164450614e+00 2.489804138055430993e+00 1.300842670347348573e+01 5.852789192429598941e+00
-2.755935762659886379e+00 2.380179940817300110e+00 1.312618235445298964e+01 5.635092813619955621e+00
-2.757725956875420881e+00 2.533332378837099164e+00 1.321322161366281023e+01 5.761120752676909262e+00
-2.820351510942418205e+00 2.394153369909309159e+00 1.308168489342607366e+01 5.683720185639693945e+00
-2.591296748461262567e+00 1.630812971276114354e+00 1.282752302592369098e+01 4.928368351387280910e+00
-2.681694460085509490e+00 2.158509118385445902e+00 1.305867929737484445e+01 5.411278020072568751e+00
-2.876842452871767986e+00 2.068041568290351240e+00 1.284713432125153965e+01 5.450211807272179243e+00
-2.709261257909977960e+00 2.057348789291588709e+00 1.297772472998012461e+01 5.344646957176900415e+00
-3.032717742436084496e+00 2.504404947044299945e+00 1.297207454348818700e+01 5.896418088135389368e+00
-2.781600588780045236e+00 2.469952111902639302e+00 1.315711185863258059e+01 5.723189872437819403e+00
-2.810991109266227195e+00 1.751977016039078183e+00 1.271823776680954943e+01 5.154206944309700056e+00
-2.792945120372559487e+00 1.846911842420221772e+00 1.278782458993970828e+01 5.221258812455339182e+00
